weight,trial,C1,C2,C3,C4,C5,C6,C7,C8
1,0,3.010954906188917,5.5120858430700475,10.204148081347142,9.062258449810628,7.165844151477531,2.902411604243459,1.6026121059974172,2.77818582444705
1,0,3.676076789550158,5.900789343409315,11.400682772625677,9.467325729561356,6.171019148026448,3.233826025265049,1.9813039109778934,3.252169436558279
1,0,3.5218927365053703,6.321046274781765,11.99811163537812,10.68725209881148,6.675824717565608,3.284292746187219,2.0564840880655195,3.6011958783461204
1,0,3.237889789636622,5.796646103275233,10.536351551407185,8.842631481754127,6.285418286994884,3.037051698327656,1.4335445959564177,3.0633907008671892
1,0,3.1778476033383445,5.714126327737857,10.985796576634531,9.228305098923686,6.822629610948772,3.189140728206744,1.4913284423386546,3.407446542197472
1,0,2.4845984319462664,4.783874233177575,9.741277088929518,8.468079481352886,6.533581981210902,2.692538790505085,1.445189340016977,2.9931681952092304
1,0,2.5890742157706974,4.328475726417986,8.870928371612077,7.305629632659012,6.217646239948795,2.3830106106254396,1.486574559193905,2.5965100227137388
1,0,2.6192608918833424,4.566670967259046,8.431369275715875,7.739225435647048,6.29646814070971,2.4380611146830016,1.3523236804239116,2.4685239793379767
1,0,2.7521938683732468,4.302141857697718,7.766114302254155,7.410493474655178,6.824410939953641,2.4876748483748012,1.2670906693468258,2.5200331798346327
1,0,2.894477022829252,4.49220868876399,7.8665660746629955,7.411438238859905,6.679738291476073,2.519280043270452,1.4643590033699443,2.654554279228467
1,0,3.0173819616436792,4.610639189636132,7.914215129948761,7.408614042887732,6.217848060291124,2.284279718658055,1.4385713127775506,2.534804155042513
1,0,2.520132266949126,4.14331406428315,6.923048624579907,7.422531769534962,5.556230024309266,2.0785219286737067,1.258575383996599,2.433326915932427
1,0,2.4309631501521682,3.8980098492818716,6.492366941818857,6.89458313292305,5.7229897427954155,2.1214026639466135,1.3779303638292812,2.2482875293767117
1,0,2.549554217629872,3.735193200194644,6.413286305329442,6.070745822872876,4.984080745783643,2.2616747468535356,1.2459670080526792,2.2245039624640586
1,0,2.707937829877229,3.971865406261113,6.950211230967449,6.3378595286821255,5.420029609383407,2.42938099012531,1.3986663642425508,2.2495092650526542
1,0,2.618189496771138,3.92082651296973,6.682026191216408,6.032868208894091,5.448896323945472,2.1094900884381995,1.246566153970835,2.54327116866424
1,0,2.2236668368976775,3.142729951423511,6.21857780497231,5.9000831465587025,5.578936717928067,2.067793528746677,1.5949309123308761,2.4912905584400216
1,0,2.3870869060734674,3.3251910476976754,6.356062960034657,6.020367776061669,5.4405451820757165,1.9182947266566397,1.5189794393553246,2.6912248356729465
1,0,2.3374628274764753,3.0786192144454474,5.697102677204257,5.439833327067255,5.68207107291832,1.9550872952965774,1.4782096174445991,2.5043099415010555
1,0,2.5747429283290235,3.265086135140494,5.798966477685312,5.660707237596013,5.5355301205555065,1.9362705100325066,1.484791709919916,2.4495531059920914
1,0,2.6013926442717996,3.6803700145417655,6.451994541002415,6.612476003261145,5.651794684825266,2.130843928172276,1.2221055945462966,2.7112722560199933
1,0,2.246807359285178,3.0936100926708634,5.5313832028443555,6.082246191183078,5.090540347084616,2.0789096908500975,1.2074658508874037,2.241710230299833
1,0,2.3963860504420365,2.8337563116803355,5.842258475336371,6.246781695870303,5.033006984334965,2.1575210606625177,1.257867210603119,2.3624105004992404
1,0,2.3543936123464997,3.0226745171623386,6.351877960395752,6.367516834846425,5.648910040585604,2.344786021730182,1.31671689223691,2.478228376412286
